variable,mean,std,min,max,length,filename
Position,103.05600000000001,61.852201480162236,-93.74,207.5,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Height above ground [m],3.636124401913875,1.1059127816440169,0.0,5.37,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
X [m],92.61766666666666,52.28130162222622,-81.79,177.55,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Y [m],-2.123952380952381,1.61426953205575,-5.62,0.01,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Z [m],-46.087380952380954,33.377491861495955,-106.51,43.4,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Opening Angle [°],26.294258373205743,6.112437316828133,0.0,42.7,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Stalling Angle Left [°],0.7131387559808613,7.7782568138616375,-15.829,26.449,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Stalling Angle Right [°],0.26207177033492807,6.4737541836558155,-26.495,16.019,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Roll Angle Left [°],18.928296650717705,11.945822489474587,-10.189,41.25,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Roll Angle Right [°],-17.204086124401915,10.436214551532746,-32.987,11.165,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Yaw Angle Left [°],7.8702009569378,4.415619156624044,-0.547,22.283,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Yaw Angle Right [°],-17.9703014354067,4.647538732412757,-25.482,0.0,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Speed hor. [km/h],95.33796190476191,6.710935387741871,0.0,99.83,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Speed vert. [km/h],-58.73931904761905,19.14606145459375,-77.927,0.0,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Speed resulting [km/h],113.27816666666666,11.363813484683435,0.0,124.206,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W1_Speed,0.5690476190476189,0.04736145869188952,0.4,0.6,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W1_Tangent,0.46780952380952384,0.036273310007647684,0.38,0.52,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W1_Turbulence,0.038904761904761914,0.028423328854108223,0.0,0.19,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W1_CleanTan,0.46780952380952384,0.036273310007647684,0.38,0.52,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W1_Cross,0.2054761904761905,0.04234752445566747,0.1,0.28,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W2_Speed,0.9976190476190476,0.1715230050525192,0.7,1.3,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W2_Tangent,0.3311904761904762,0.11447827108238225,0.19,0.64,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W2_Turbulence,0.16276190476190477,0.08053048087787325,0.04,0.34,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W2_CleanTan,0.3311904761904762,0.11447827108238225,0.19,0.64,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W2_Cross,0.706952380952381,0.19453846157657734,0.24,1.05,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W3_Speed,0.939047619047619,0.08857752865609135,0.6,1.0,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W3_Tangent,0.6095238095238095,0.03984133489580055,0.43,0.66,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W3_Turbulence,0.10938095238095237,0.03216431525964953,0.02,0.16,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W3_CleanTan,0.6095238095238095,0.03984133489580055,0.43,0.66,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W3_Cross,0.6754285714285713,0.0836606104708835,0.41,0.77,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W4_Speed,1.7228571428571426,0.1734850449863127,1.4,1.9,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W4_Tangent,0.8743333333333334,0.1873762004907956,0.53,1.13,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W4_Turbulence,0.13619047619047617,0.1117317442984879,0.0,0.62,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W4_CleanTan,0.8743333333333334,0.1873762004907956,0.53,1.13,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W4_Cross,1.433571428571429,0.19077556929558537,1.19,1.81,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Speed,1.1576190476190475,0.23286040671063574,0.6,1.4,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Tangent,0.11071428571428574,0.23882480272746529,-0.14,0.72,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Turbulence,0.23904761904761906,0.13350643809735432,0.01,0.49,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_CleanTan,0.11071428571428574,0.23882480272746529,-0.14,0.72,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Cross,0.8700476190476191,0.32632284718111615,0.02,1.13,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Speed,0.7914285714285714,0.17532705499511606,0.6,1.3,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Tangent,0.21261904761904762,0.12348720027058505,0.05,0.45,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Turbulence,0.15909523809523807,0.12781056734691823,0.02,0.52,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
